       ['240m', '60m', '30m', '0m', '25G']         ;   999678   ;      0.26320124      ;      0.26320258      ;      0.2631714       ;  0
       ['5760m', '240m', '0m', '0m', '50G']        ;   999962   ;      0.26352543      ;      0.26347244      ;      0.26348811      ;  1
        ['60m', '15m', '0m', '0m', '25G']          ;   997114   ;      0.26355129      ;      0.2636179       ;      0.26317161      ;  0
     ['720m', '240m', '120m', '120m', '100G']      ;   999761   ;      0.26373759      ;      0.26377615      ;      0.26346326      ;  0
     ['8640m', '1080m', '240m', '15m', '25G']      ;   999969   ;      0.26712793      ;      0.2670415       ;      0.26718226      ;  2
      ['10080m', '360m', '60m', '0m', '75G']       ;   999409   ;      0.26410985      ;      0.26405847      ;      0.26412457      ;  2
       ['120m', '15m', '0m', '0m', '100G']         ;   999199   ;      0.26315755      ;      0.26329589      ;      0.2630173       ;  0
       ['360m', '30m', '0m', '0m', '100G']         ;   997217   ;      0.26285848      ;      0.26297152      ;      0.26263231      ;  0
        ['240m', '15m', '0m', '0m', '50G']         ;   992251   ;      0.26358014      ;      0.2636742       ;      0.26300097      ;  0
       ['360m', '60m', '30m', '0m', '50G']         ;   999568   ;      0.26358876      ;      0.26364303      ;      0.26320592      ;  0
       ['360m', '30m', '0m', '0m', '125G']         ;   995008   ;      0.26331264      ;      0.26342902      ;      0.26286879      ;  0
      ['720m', '240m', '30m', '15m', '50G']        ;   999861   ;      0.26351541      ;      0.2634514       ;      0.26359299      ;  2
        ['60m', '15m', '0m', '0m', '125G']         ;   993357   ;      0.2633777       ;      0.26351994      ;      0.26314521      ;  0
       ['720m', '120m', '0m', '0m', '50G']         ;   999738   ;      0.26336011      ;      0.26339555      ;      0.26321605      ;  0
        ['720m', '15m', '0m', '0m', '25G']         ;   995953   ;      0.26339492      ;      0.2634536       ;      0.26317042      ;  0
     ['10080m', '360m', '60m', '15m', '25G']       ;   999794   ;      0.26365164      ;      0.26357743      ;      0.26376587      ;  2
        ['60m', '30m', '0m', '0m', '25G']          ;   999544   ;      0.2636947       ;      0.26398858      ;      0.26358911      ;  0
        ['60m', '15m', '0m', '0m', '50G']          ;   993548   ;      0.26316616      ;      0.26354024      ;      0.26327896      ;  0
       ['8640m', '30m', '0m', '0m', '125G']        ;   995355   ;      0.26324385      ;      0.2638427       ;      0.26324287      ;  0
      ['10080m', '240m', '0m', '0m', '50G']        ;   999587   ;      0.26375899      ;      0.2636728       ;      0.26373228      ;  1
      ['5760m', '360m', '0m', '0m', '100G']        ;   999821   ;      0.26336873      ;      0.26394406      ;      0.26395974      ;  2
        ['60m', '15m', '0m', '0m', '75G']          ;   999643   ;      0.26325178      ;      0.26341641      ;      0.26310953      ;  0
        ['120m', '60m', '0m', '0m', '75G']         ;   999288   ;      0.26299164      ;      0.2635729       ;      0.2632277       ;  0
       ['5760m', '15m', '0m', '0m', '125G']        ;   994025   ;      0.26339048      ;      0.26376107      ;      0.26364389      ;  0
       ['360m', '60m', '30m', '15m', '25G']        ;   998609   ;      0.26383576      ;      0.26388854      ;      0.26363888      ;  0
        ['120m', '30m', '0m', '0m', '25G']         ;   999218   ;      0.26305646      ;      0.26393324      ;      0.26347876      ;  0
     ['5760m', '120m', '30m', '30m', '125G']       ;   998243   ;      0.26354721      ;      0.26347944      ;      0.2632125       ;  1
       ['240m', '15m', '0m', '0m', '100G']         ;   998791   ;      0.2634683       ;      0.26329428      ;      0.26295665      ;  1
