    ['5760m', '720m', '240m', '120m', '100G']      ;  1000014   ;      0.26362991      ;      0.26352736      ;     0.00010255000000003456     ; 1 
      ['5760m', '120m', '60m', '0m', '125G']       ;   997976   ;      0.26356247      ;      0.26363966      ;     -7.719000000000475e-05     ; 0 
     ['5760m', '1440m', '540m', '15m', '25G']      ;   999986   ;       0.26962        ;      0.26957828      ;     4.172000000002285e-05      ; 1 
    ['8640m', '1080m', '240m', '120m', '100G']     ;   999853   ;      0.26423547      ;      0.26417381      ;     6.165999999996341e-05      ; 1 
      ['360m', '120m', '60m', '15m', '125G']       ;   998236   ;      0.26321948      ;      0.26329991      ;     -8.043000000002021e-05     ; 0 
      ['360m', '120m', '30m', '0m', '100G']        ;   997714   ;      0.2635597       ;      0.26363125      ;     -7.15499999999758e-05      ; 0 
      ['8640m', '60m', '30m', '30m', '25G']        ;   999231   ;      0.26331016      ;      0.26346657      ;    -0.00015640999999999572     ; 0 
     ['2880m', '360m', '120m', '15m', '50G']       ;   999939   ;      0.26365867      ;      0.26357409      ;     8.458000000000077e-05      ; 1 
      ['720m', '120m', '30m', '15m', '75G']        ;  1000012   ;      0.26324582      ;      0.26336372      ;    -0.00011790000000000411     ; 0 
     ['5760m', '720m', '120m', '30m', '50G']       ;   999979   ;      0.26408419      ;      0.26398137      ;     0.00010282000000000346     ; 1 
    ['8640m', '1440m', '1080m', '15m', '75G']      ;   999900   ;      0.26468939      ;      0.26456502      ;     0.00012437000000004028     ; 1 
     ['5760m', '360m', '120m', '60m', '100G']      ;   999815   ;      0.26386487      ;      0.26382524      ;      3.96299999999572e-05      ; 1 
    ['10080m', '1440m', '240m', '15m', '75G']      ;   999982   ;      0.26419786      ;      0.26411536      ;     8.249999999998536e-05      ; 1 
      ['8640m', '120m', '60m', '30m', '25G']       ;   999700   ;      0.26376677      ;      0.26372653      ;     4.023999999996919e-05      ; 1 
      ['10080m', '60m', '30m', '0m', '100G']       ;   998571   ;      0.26340443      ;      0.26344532      ;    -4.0889999999960125e-05     ; 0 
     ['8640m', '1440m', '120m', '0m', '25G']       ;  1000008   ;      0.27021188      ;      0.27015325      ;     5.863000000000396e-05      ; 1 
     ['10080m', '360m', '60m', '60m', '50G']       ;   999927   ;      0.26413926      ;      0.26403433      ;     0.00010493000000000308     ; 1 
     ['1440m', '720m', '120m', '60m', '125G']      ;   999877   ;      0.26358712      ;      0.26350138      ;     8.574000000000082e-05      ; 1 
      ['720m', '120m', '60m', '45m', '25G']        ;   999735   ;      0.26364967      ;      0.26362902      ;     2.0650000000010937e-05     ; 1 
     ['5760m', '1440m', '540m', '60m', '75G']      ;   999979   ;      0.26446676      ;      0.26440102      ;     6.574000000003632e-05      ; 1 
     ['2880m', '720m', '120m', '15m', '50G']       ;   999989   ;       0.264195       ;      0.26409456      ;     0.00010044000000003495     ; 1 
     ['1440m', '240m', '60m', '15m', '125G']       ;   999926   ;      0.2635259       ;      0.26360106      ;     -7.516000000001855e-05     ; 0 
     ['5760m', '1080m', '60m', '30m', '50G']       ;   999906   ;      0.26510668      ;      0.26505312      ;     5.3560000000008046e-05     ; 1 
      ['5760m', '120m', '30m', '0m', '125G']       ;   999285   ;      0.2635754       ;       0.263686       ;    -0.00011059999999996073     ; 0 
       ['5760m', '360m', '0m', '0m', '50G']        ;   999877   ;      0.26405936      ;      0.26395416      ;     0.0001052000000000275      ; 1 
      ['240m', '120m', '60m', '0m', '100G']        ;   998655   ;      0.26340601      ;      0.26344493      ;    -3.8919999999997845e-05     ; 0 
     ['10080m', '360m', '240m', '0m', '75G']       ;   999985   ;      0.26376423      ;      0.26371482      ;     4.9409999999971976e-05     ; 1 
     ['5760m', '720m', '360m', '15m', '100G']      ;   999900   ;      0.2638973       ;      0.26381257      ;     8.472999999997732e-05      ; 1 
       ['360m', '120m', '60m', '0m', '25G']        ;   999353   ;      0.26358169      ;      0.26351097      ;     7.071999999996859e-05      ; 1 
     ['1440m', '360m', '240m', '15m', '75G']       ;   999574   ;      0.26417243      ;      0.2641423       ;     3.0130000000017088e-05     ; 1 
     ['5760m', '360m', '240m', '45m', '125G']      ;   999996   ;      0.26378277      ;      0.26379269      ;     -9.919999999996598e-06     ; 0 
    ['10080m', '1080m', '360m', '60m', '50G']      ;   999990   ;      0.2647211       ;      0.26463923      ;      8.18699999999839e-05      ; 1 
      ['360m', '240m', '30m', '15m', '100G']       ;   998922   ;      0.2636362       ;      0.26367116      ;     -3.49600000000283e-05      ; 0 
    ['10080m', '1080m', '240m', '15m', '75G']      ;   999827   ;      0.26414368      ;      0.26405737      ;     8.630999999997835e-05      ; 1 
       ['5760m', '60m', '0m', '0m', '125G']        ;   997399   ;      0.26340121      ;      0.2634995       ;     -9.829000000000088e-05     ; 0 
     ['8640m', '720m', '360m', '45m', '75G']       ;   999791   ;      0.26400211      ;      0.26392779      ;      7.43200000000166e-05      ; 1 
     ['2880m', '1080m', '240m', '60m', '25G']      ;   999964   ;      0.26726291      ;      0.26718783      ;     7.508000000000514e-05      ; 1 
     ['5760m', '240m', '30m', '15m', '100G']       ;   998953   ;      0.26329717      ;      0.26326251      ;     3.4660000000019675e-05     ; 1 
