     ['5760m', '1440m', '120m', '60m', '50G']      ;   999950   ;      0.26529616      ;      0.26525256      ;     4.359999999997699e-05      ; 1 
      ['1440m', '720m', '360m', '0m', '50G']       ;   999848   ;      0.26391974      ;      0.26382113      ;     9.860999999999898e-05      ; 1 
      ['8640m', '120m', '60m', '30m', '50G']       ;   999570   ;      0.26361713      ;      0.26361138      ;     5.749999999971056e-06      ; 1 
      ['360m', '60m', '30m', '30m', '125G']        ;   995691   ;      0.26330826      ;      0.26342335      ;    -0.00011508999999998437     ; 0 
       ['1440m', '60m', '0m', '0m', '100G']        ;   998805   ;      0.2634989       ;      0.26363015      ;    -0.00013125000000002718     ; 0 
      ['2880m', '240m', '60m', '0m', '125G']       ;   999578   ;      0.26326275      ;      0.26327473      ;    -1.1980000000022528e-05     ; 0 
     ['1440m', '720m', '30m', '15m', '100G']       ;   999917   ;      0.26393101      ;      0.26384735      ;     8.366000000004092e-05      ; 1 
     ['10080m', '240m', '60m', '15m', '125G']      ;   996941   ;      0.26320419      ;      0.26329735      ;     -9.315999999998104e-05     ; 0 
     ['8640m', '1080m', '360m', '45m', '50G']      ;   999880   ;      0.26462865      ;      0.26453936      ;     8.929000000001963e-05      ; 1 
    ['10080m', '1080m', '720m', '45m', '125G']     ;   999725   ;      0.26396301      ;      0.26386178      ;     0.0001012300000000077      ; 1 
       ['720m', '240m', '0m', '0m', '25G']         ;   999740   ;      0.26390502      ;      0.2637755       ;     0.00012951999999999408     ; 1 
    ['10080m', '1080m', '360m', '15m', '25G']      ;   999993   ;      0.26667175      ;      0.2665768       ;     9.494999999998255e-05      ; 1 
     ['1440m', '720m', '240m', '0m', '125G']       ;   999962   ;      0.26361692      ;      0.26353836      ;     7.855999999994978e-05      ; 1 
     ['5760m', '1440m', '1080m', '0m', '50G']      ;   999893   ;      0.26550835      ;      0.26543176      ;      7.65899999999875e-05      ; 1 
      ['240m', '120m', '60m', '30m', '25G']        ;   999627   ;      0.26347977      ;      0.2634134       ;     6.636999999998228e-05      ; 1 
      ['8640m', '1440m', '0m', '0m', '75G']        ;   999840   ;      0.26490426      ;      0.26480159      ;     0.0001026700000000269      ; 1 
     ['8640m', '240m', '30m', '30m', '125G']       ;   998560   ;      0.26357448      ;      0.26367772      ;    -0.00010324000000000444     ; 0 
