    ['10080m', '1080m', '60m', '45m', '125G']      ;    1000    ;      0.21137674      ;      0.21137674      ;              0.0               ; 0 
    ['10080m', '1080m', '60m', '45m', '125G']      ;    2000    ;      0.24322478      ;      0.24322478      ;              0.0               ; 0 
    ['10080m', '1080m', '60m', '45m', '125G']      ;    3000    ;      0.24421932      ;      0.24421932      ;              0.0               ; 0 
    ['10080m', '1080m', '60m', '45m', '125G']      ;    4000    ;      0.25029716      ;      0.25029716      ;              0.0               ; 0 
    ['10080m', '1080m', '60m', '45m', '125G']      ;    5000    ;      0.25341916      ;      0.25341916      ;              0.0               ; 0 
    ['10080m', '1080m', '60m', '45m', '125G']      ;    6000    ;      0.25406972      ;      0.25406972      ;              0.0               ; 0 
    ['10080m', '1080m', '60m', '45m', '125G']      ;    7000    ;      0.25666371      ;      0.25666371      ;              0.0               ; 0 
    ['10080m', '1080m', '60m', '45m', '125G']      ;    8000    ;      0.25762001      ;      0.25762001      ;              0.0               ; 0 
    ['10080m', '1080m', '60m', '45m', '125G']      ;    9000    ;      0.25889483      ;      0.25889483      ;              0.0               ; 0 
    ['10080m', '1080m', '60m', '45m', '125G']      ;   10000    ;      0.2578333       ;      0.2578333       ;              0.0               ; 0 
    ['10080m', '1080m', '60m', '45m', '125G']      ;   11000    ;      0.25790799      ;      0.25790799      ;              0.0               ; 0 
    ['10080m', '1080m', '60m', '45m', '125G']      ;   12000    ;       0.25707        ;      0.25710878      ;     -3.877999999996051e-05     ; 0 
    ['10080m', '1080m', '60m', '45m', '125G']      ;   13000    ;      0.25891063      ;      0.25890198      ;     8.649999999998936e-06      ; 1 
    ['10080m', '1080m', '60m', '45m', '125G']      ;   14000    ;      0.25906569      ;      0.2590577       ;     7.990000000013264e-06      ; 1 
    ['10080m', '1080m', '60m', '45m', '125G']      ;   15000    ;      0.25896999      ;      0.25896251      ;      7.48000000000415e-06      ; 1 
    ['10080m', '1080m', '60m', '45m', '125G']      ;   16000    ;      0.25974548      ;      0.2596215       ;      0.000123979999999968      ; 1 
    ['10080m', '1080m', '60m', '45m', '125G']      ;   17000    ;      0.25948939      ;      0.2593517       ;     0.00013768999999996812     ; 1 
    ['10080m', '1080m', '60m', '45m', '125G']      ;   18000    ;      0.25957617      ;      0.25944617      ;      0.000130000000000019      ; 1 
    ['10080m', '1080m', '60m', '45m', '125G']      ;   19000    ;      0.26075169      ;      0.2606284       ;     0.00012328999999999812     ; 1 
    ['10080m', '1080m', '60m', '45m', '125G']      ;   20000    ;      0.26084214      ;      0.26072532      ;     0.00011682000000001747     ; 1 
    ['10080m', '1080m', '60m', '45m', '125G']      ;   21000    ;      0.26056656      ;      0.26045558      ;     0.00011097999999998276     ; 1 
    ['10080m', '1080m', '60m', '45m', '125G']      ;   22000    ;      0.26094776      ;      0.26079905      ;     0.00014870999999999635     ; 1 
